Name,Category,Day,Year,Date
Unnamed,Category 1 hurricane,October 16,1923,1923-10-16
Unnamed,Category 1 hurricane,September 15,1924,1924-09-15
Unnamed,Category 1 hurricane,October 21,1924,1924-10-21
Unnamed,Category 2 hurricane,July 27,1926,1926-07-27
Unnamed,Category 3 hurricane,August 21,1926,1926-08-21
Unnamed,Category 3 hurricane,August 26,1926,1926-08-26
Unnamed,Category 4 hurricane,September 18,1926,1926-09-18
Unnamed,Category 1 hurricane,October 21,1926,1926-10-21
Unnamed,Category 2 hurricane,August 8,1928,1928-08-08
Unnamed,Category 4 hurricane,September 17,1928,1928-09-17
Unnamed,Category 1 hurricane,June 28,1929,1929-06-28
Unnamed,Category 3 hurricane,September 28,1929,1929-09-28
Unnamed,Category 4 hurricane,August 14,1932,1932-08-14
Unnamed,Category 1 hurricane,September 1,1932,1932-09-01
Unnamed,Category 1 hurricane,July 30,1933,1933-07-30
Unnamed,Category 2 hurricane,August 7,1933,1933-08-07
Unnamed,Category 3 hurricane,September 4,1933,1933-09-04
Unnamed,Category 3 hurricane,September 5,1933,1933-09-05
Unnamed,Category 2 hurricane,June 16,1934,1934-06-16
Unnamed,Category 2 hurricane,July 25,1934,1934-07-25
Unnamed,Category 5 hurricane,September 3,1935,1935-09-03
Unnamed,Category 2 hurricane,November 4,1935,1935-11-04
Unnamed,Category 1 hurricane,June 27,1936,1936-06-27
Unnamed,Category 2 hurricane,July 31,1936,1936-07-31
Unnamed,Category 1 hurricane,August 15,1938,1938-08-15
Unnamed,Category 1 hurricane,August 11,1939,1939-08-11
Unnamed,Category 2 hurricane,August 7,1940,1940-08-07
Unnamed,Category 2 hurricane,August 8,1940,1940-08-08
Unnamed,Category 3 hurricane,September 23,1941,1941-09-23
Unnamed,Category 2 hurricane,October 6,1941,1941-10-06
Unnamed,Category 1 hurricane,August 21,1942,1942-08-21
Unnamed,Category 3 hurricane,August 30,1942,1942-08-30
Unnamed,Category 2 hurricane,July 27,1943,1943-07-27
Unnamed,Category 4 hurricane,October 19,1944,1944-10-19
Unnamed,Category 1 hurricane,June 24,1945,1945-06-24
Unnamed,Category 2 hurricane,August 27,1945,1945-08-27
Unnamed,Category 3 hurricane,September 15,1945,1945-09-15
Unnamed,Category 1 hurricane,October 8,1946,1946-10-08
Unnamed,Category 1 hurricane,August 24,1947,1947-08-24
Unnamed,Category 4 hurricane,September 17,1947,1947-09-17
Unnamed,Category 2 hurricane,September 19,1947,1947-09-19
Unnamed,Category 1 hurricane,October 11,1947,1947-10-11
Unnamed,Category 1 hurricane,September 4,1948,1948-09-04
Unnamed,Category 4 hurricane,September 21,1948,1948-09-21
Unnamed,Category 2 hurricane,October 5,1948,1948-10-05
Unnamed,Category 4 hurricane,August 26,1949,1949-08-26
Unnamed,Category 2 hurricane,October 4,1949,1949-10-04
Baker,Category 1 hurricane,August 31,1950,1950-08-31
Easy,Category 3 hurricane,September 5,1950,1950-09-05
King,Category 4 hurricane,October 18,1950,1950-10-18
Florence,Category 1 hurricane,September 26,1953,1953-09-26
Hazel,Category 1 hurricane,October 9,1953,1953-10-09
Flossy,Category 1 hurricane,September 24,1956,1956-09-24
Audrey,Category 2 hurricane,June 27,1957,1957-06-27
Debra,Category 1 hurricane,July 25,1959,1959-07-25
Donna,Category 4 hurricane,September 10,1960,1960-09-10
Carla,Category 4 hurricane,September 11,1961,1961-09-11
Cleo,Category 2 hurricane,August 27,1964,1964-08-27
Dora,Category 2 hurricane,September 10,1964,1964-09-10
Ethel,Category 1 hurricane,September 15,1964,1964-09-15
Hilda,Category 2 hurricane,October 3,1964,1964-10-03
Isbell,Category 2 hurricane,October 14,1964,1964-10-14
Betsy,Category 3 hurricane,September 8,1965,1965-09-08
Betsy,Category 4 hurricane,September 10,1965,1965-09-10
Alma,Category 3 hurricane,June 9,1966,1966-06-09
Inez,Category 2 hurricane,October 8,1966,1966-10-08
Beulah,Category 3 hurricane,September 20,1967,1967-09-20
Gladys,Category 2 hurricane,October 19,1968,1968-10-19
Camille,Category 5 hurricane,August 17,1969,1969-08-17
Camille,Category 1 hurricane,August 18,1969,1969-08-18
Celia,Category 4 hurricane,August 3,1970,1970-08-03
Fern,Category 1 hurricane,September 10,1971,1971-09-10
Edith,Category 2 hurricane,September 16,1971,1971-09-16
Agnes,Category 1 hurricane,June 19,1972,1972-06-19
Carmen,Category 3 hurricane,September 8,1974,1974-09-08
Eloise,Category 1 hurricane,September 23,1975,1975-09-23
Babe,Category 1 hurricane,September 5,1977,1977-09-05
Bob,Category 1 hurricane,July 11,1979,1979-07-11
David,Category 2 hurricane,September 3,1979,1979-09-03
Frederic,Category 4 hurricane,September 13,1979,1979-09-13
Allen,Category 3 hurricane,August 10,1980,1980-08-10
Alicia,Category 3 hurricane,August 18,1983,1983-08-18
Danny,Category 1 hurricane,August 15,1985,1985-08-15
Elena,Category 3 hurricane,September 1,1985,1985-09-01
Elena,Category 3 hurricane,September 2,1985,1985-09-02
Juan,Category 1 hurricane,October 28,1985,1985-10-28
Kate,Category 2 hurricane,November 21,1985,1985-11-21
Bonnie,Category 1 hurricane,June 28,1986,1986-06-28
Floyd,Category 1 hurricane,October 12,1987,1987-10-12
Florence,Category 1 hurricane,September 10,1988,1988-09-10
Chantal,Category 1 hurricane,August 1,1989,1989-08-01
Jerry,Category 1 hurricane,October 16,1989,1989-10-16
Andrew,Category 5 hurricane,August 24,1992,1992-08-24
Andrew,Category 3 hurricane,August 26,1992,1992-08-26
Erin,Category 2 hurricane,August 3,1995,1995-08-03
Opal,Category 1 hurricane,October 4,1995,1995-10-04
Danny,Category 1 hurricane,July 18,1997,1997-07-18
Danny,Category 1 hurricane,July 19,1997,1997-07-19
Earl,Category 1 hurricane,September 3,1998,1998-09-03
Georges,Category 2 hurricane,September 25,1998,1998-09-25
Bret,Category 3 hurricane,August 23,1999,1999-08-23
Irene,Category 1 hurricane,October 15,1999,1999-10-15
Lili,Category 1 hurricane,October 3,2002,2002-10-03
Claudette,Category 1 hurricane,July 15,2003,2003-07-15
Charley,Category 4 hurricane,August 13,2004,2004-08-13
Frances,Category 2 hurricane,September 5,2004,2004-09-05
Ivan,Category 3 hurricane,September 16,2004,2004-09-16
Jeanne,Category 3 hurricane,September 26,2004,2004-09-26
Cindy,Category 1 hurricane,July 6,2005,2005-07-06
Dennis,Category 1 hurricane,July 10,2005,2005-07-10
Katrina,Category 1 hurricane,August 25,2005,2005-08-25
Katrina,Category 1 hurricane,August 29,2005,2005-08-29
Rita,Category 1 hurricane,September 20,2005,2005-09-20
Rita,Category 2 hurricane,September 24,2005,2005-09-24
Wilma,Category 3 hurricane,October 24,2005,2005-10-24
Humberto,Category 1 hurricane,September 13,2007,2007-09-13
Dolly,Category 1 hurricane,July 23,2008,2008-07-23
Gustav,Category 2 hurricane,September 1,2008,2008-09-01
Ike,Category 2 hurricane,September 13,2008,2008-09-13
Isaac,Category 1 hurricane,August 28,2012,2012-08-28
Hermine,Category 1 hurricane,September 2,2016,2016-09-02
Matthew,Category 2 hurricane,October 7,2016,2016-10-07
Harvey,Category 4 hurricane,August 26,2017,2017-08-26
Irma,Category 4 hurricane,September 10,2017,2017-09-10
Nate,Category 1 hurricane,October 7,2017,2017-10-07
Nate,Category 1 hurricane,October 8,2017,2017-10-08
Michael,Category 1 hurricane,October 10,2018,2018-10-10
Barry,Category 1 hurricane,July 13,2019,2019-07-13
Laura,Category 4 hurricane,August 27,2020,2020-08-27
Sally,Category 2 hurricane,September 16,2020,2020-09-16
Delta,Category 2 hurricane,October 9,2020,2020-10-09
Zeta,Category 3 hurricane,October 28,2020,2020-10-28
Zeta,Category 1 hurricane,October 29,2020,2020-10-29
Ida,Category 4 hurricane,August 29,2021,2021-08-29
Ian,Category 4 hurricane,September 28,2022,2022-09-28
Nicole,Category 1 hurricane,November 10,2022,2022-11-10
Idalia,Category 3 hurricane,August 30,2023,2023-08-30
Debby,Category 1 hurricane,August 5,2024,2024-08-05
Francine,Category 2 hurricane,September 11,2024,2024-09-11
Helene,Category 4 hurricane,September 27,2024,2024-09-27
Milton,Category 3 hurricane,October 10,2024,2024-10-10
